item,data_lancamento,lanc_Ent_qtd,lanc_Ent_valor,lanc_Sai_qtd,lanc_Sai_valor,saldo_inicio_valor,saldo_inicio_qtd,saldo_final_valor,saldo_final_qtd
80.03.104-1,28/05/2013,0.0,0.0,2527.9376,5393.96,268824.7899999999,125987.45000000001,263430.8299999999,123459.5124
80.03.104-1,31/05/2013,0.0,530.0,0.0,530.0,263430.8299999999,123459.5124,263430.8299999999,123459.5124
80.03.104-1,05/06/2013,0.0,0.0,5.8078,12.39,263430.8299999999,123459.5124,263418.4399999999,123453.70460000001
80.03.104-1,06/06/2013,0.0,0.0,28.6974,61.23,263418.4399999999,123453.70460000001,263357.2099999999,123425.00720000001
80.03.104-1,07/06/2013,0.0,0.0,18.4483,39.36,263357.2099999999,123425.00720000001,263317.8499999999,123406.5589
80.03.104-1,12/06/2013,0.0,0.0,2.9039,6.2,263317.8499999999,123406.5589,263311.6499999999,123403.655
80.03.104-1,14/06/2013,11870.0,25327.49,23743.039099999998,50661.48,263311.6499999999,123403.655,237977.6599999999,111530.6159
80.03.104-1,17/06/2013,0.0,0.0,11.3861,24.29,237977.6599999999,111530.6159,237953.36999999988,111519.2298
80.03.104-1,18/06/2013,326.639,696.96,328.2566,700.4100000000001,237953.36999999988,111519.2298,237949.91999999987,111517.6122
80.03.104-1,24/06/2013,0.0,0.0,0.6452,1.38,237949.91999999987,111517.6122,237948.53999999986,111516.967
80.03.104-1,30/06/2013,0.0,0.01,0.0,0.01,237948.53999999986,111516.967,237948.53999999986,111516.967
80.03.104-1,02/07/2013,0.0,0.0,2852.1261,6136.610000000001,237948.53999999986,111516.967,231811.92999999988,108664.84090000001
80.03.104-1,03/07/2013,0.0,0.0,170.06780000000003,365.91999999999996,231811.92999999988,108664.84090000001,231446.00999999986,108494.7731
80.03.104-1,05/07/2013,0.0,0.0,6080.4632,13082.66,231446.00999999986,108494.7731,218363.34999999986,102414.30990000001
80.03.104-1,06/07/2013,191.2359,0.02,0.0,0.0,218363.34999999986,102414.30990000001,218363.36999999985,102605.5458
80.03.104-1,11/07/2013,10250.0,22053.8,12989.6724,27948.449999999997,218363.36999999985,102605.5458,212468.71999999986,99865.87340000001
80.03.104-1,15/07/2013,0.0,0.0,6874.5895,14791.3,212468.71999999986,99865.87340000001,197677.41999999987,92991.28390000001
80.03.104-1,16/07/2013,0.0,0.0,31.173,67.07,197677.41999999987,92991.28390000001,197610.34999999986,92960.11090000001
80.03.104-1,17/07/2013,0.0,0.0,19.8343,42.67,197610.34999999986,92960.11090000001,197567.67999999985,92940.27660000001
80.03.104-1,18/07/2013,0.0,0.0,85.9373,184.91000000000003,197567.67999999985,92940.27660000001,197382.76999999984,92854.3393
80.03.104-1,19/07/2013,0.0,0.0,57.8518,124.47,197382.76999999984,92854.3393,197258.29999999984,92796.4875
80.03.104-1,22/07/2013,47978.0,105630.73,24006.8802,51652.96,197258.29999999984,92796.4875,251236.06999999986,116767.60729999999
80.03.104-1,23/07/2013,23989.0,51614.49,23989.0,51614.49,251236.06999999986,116767.60729999999,251236.0699999999,116767.60729999997
80.03.104-1,24/07/2013,11880.0,25560.89,11880.0,25560.89,251236.0699999999,116767.60729999997,251236.0699999999,116767.60729999997
80.03.104-1,25/07/2013,0.0,0.0,5913.0237,12722.400000000001,251236.0699999999,116767.60729999997,238513.6699999999,110854.58359999997
80.03.104-1,26/07/2013,1.0249,2.21,1.9894999999999998,4.28,238513.6699999999,110854.58359999997,238511.5999999999,110853.61899999998
80.03.104-1,31/07/2013,0.0,2401.76,1.2218,2404.3900000000003,238511.5999999999,110853.61899999998,238508.96999999988,110852.39719999998
